pmid,passage_id,entity_type,entity_text,offset,length,matched_anywhere,matched_same_sentence
37085502,37085502_5,cell_phenotype,D2-MSNs,778,7,1,1
37085502,37085502_5,cell_phenotype,NAc D1- and D2-MSNs,881,19,0,0
37380974,37380974_35,cell_hetero,BVACs,70,5,1,0
37380974,37380974_35,cell_phenotype,neurovascular cell,96,18,0,0
37380974,37380974_35,cell_phenotype,neurovascular unit cell,330,23,0,0
37380974,37380974_35,cell_vague,neurovascular unit cell types,330,29,0,0
37380974,37380974_35,cell_phenotype,EC,587,2,1,0
37380974,37380974_35,cell_phenotype,endothelial cell,590,16,1,0
37380974,37380974_35,cell_phenotype,SMC,634,3,1,1
37380974,37380974_35,cell_phenotype,smooth muscle cell,638,18,1,1
37380974,37380974_35,cell_phenotype,OPC,658,3,1,1
37380974,37380974_35,cell_phenotype,oligodendrocyte precursor cell,662,30,1,1
37380974,37380974_35,cell_phenotype,CapEC,694,5,1,1
37380974,37380974_35,cell_phenotype,capillary endothelial cell,700,26,1,1
37380974,37380974_35,cell_phenotype,MG,728,2,1,1
37380974,37380974_35,cell_phenotype,microglia,731,9,1,0
37380974,37380974_35,cell_phenotype,aEC,766,3,1,1
37380974,37380974_35,cell_phenotype,arterial endothelial cell,770,25,1,1
37380974,37380974_35,cell_phenotype,AC,797,2,0,0
37380974,37380974_35,cell_phenotype,astrocyte,800,9,1,0
37380974,37380974_35,cell_phenotype,vEC,811,3,1,1
37380974,37380974_35,cell_phenotype,venous endothelial cell,815,23,1,1
37380974,37380974_35,cell_phenotype,BAM,840,3,0,0
37380974,37380974_35,cell_phenotype,border-associated macrophage,844,28,1,0
31211786,31211786_1,cell_phenotype,neurons,105,7,1,0
31211786,31211786_1,cell_vague,excitatory and inhibitory cell classes,464,38,0,0
31211786,31211786_1,cell_vague,excitatory or inhibitory cell types,933,35,0,0
31211786,31211786_1,cell_phenotype,excitatory or inhibitory cell,933,29,0,0
31211786,31211786_1,cell_phenotype,excitatory and inhibitory cell,464,30,0,0
33188006,33188006_55,cell_phenotype,Som+ cells,55,10,0,0
33188006,33188006_55,cell_phenotype,PKCdelta+ cells,83,15,0,0
33188006,33188006_55,cell_phenotype,Som+ and PKCdelta+ neurons,190,26,0,0
32234056,32234056_30,cell_hetero,GBM cell,523,8,0,0
32234056,32234056_30,cell_hetero,malignant glioma cells,550,22,0,0
35318336,35318336_44,cell_phenotype,neurons,274,7,1,1
35318336,35318336_44,cell_phenotype,neurons,396,7,1,0
35318336,35318336_44,cell_phenotype,neurons,522,7,1,0
35318336,35318336_44,cell_phenotype,neuronal,579,8,0,0
35318336,35318336_44,cell_vague,neuronal types,579,14,0,0
35318336,35318336_44,cell_vague,feature-specific neurons,659,24,1,1
35318336,35318336_44,cell_phenotype,neurons,676,7,1,0
35318336,35318336_44,cell_phenotype,place cells,773,11,1,1
35318336,35318336_44,cell_phenotype,grid cells,789,10,1,1
35318336,35318336_44,cell_phenotype,engram cells,906,12,1,1
35318336,35318336_44,cell_phenotype,holistic bursting cells,997,23,1,1
35318336,35318336_44,cell_vague,neuronal population,1165,19,0,0
35318336,35318336_44,cell_phenotype,neuronal,1165,8,0,0
35318336,35318336_44,cell_vague,neuron types,1359,12,0,0
35318336,35318336_44,cell_phenotype,neuron,1359,6,1,0
35318336,35318336_44,cell_phenotype,neurons,1826,7,1,1
31791377,31791377_31,cell_phenotype,cholinergic neurons,43,19,1,1
31791377,31791377_31,cell_phenotype,Cholinergic neurons,122,19,1,0
31791377,31791377_31,cell_phenotype,cholinergic neurons,269,19,1,0
31681469,31681469_38,cell_vague,aRGC,0,4,0,0
31681469,31681469_38,cell_vague,apical radial glial cell,6,24,0,0
31681469,31681469_38,cell_vague,bRGC,32,4,0,0
31681469,31681469_38,cell_vague,basal radial glial cell,38,23,0,0
31681469,31681469_38,cell_phenotype,NSPC,131,4,1,0
31681469,31681469_38,cell_phenotype,neural stem and progenitor cell,137,31,1,0
31681469,31681469_38,cell_phenotype,radial glial cell,13,17,0,0
31681469,31681469_38,cell_phenotype,radial glial cell,44,17,0,0
31681469,31681469_38,cell_phenotype,radial glial cell,208,17,0,0
31681469,31681469_38,cell_phenotype,RGC,203,3,0,0
31681469,31681469_38,cell_phenotype,IPC,63,3,0,0
31681469,31681469_38,cell_phenotype,intermediate progenitor cell,68,28,0,0
31420539,31420539_1,cell_phenotype,neurons,56,7,1,0
31420539,31420539_1,cell_phenotype,ARC neurons,206,11,1,0
31420539,31420539_1,cell_phenotype,ARC neurons,351,11,1,0
31420539,31420539_1,cell_phenotype,neuronal,449,8,1,0
31420539,31420539_1,cell_vague,neuronal types,449,14,1,0
31420539,31420539_1,cell_phenotype,neuronal,508,8,1,0
31420539,31420539_1,cell_vague,neuronal types,508,14,1,0
31420539,31420539_1,cell_phenotype,ARC neuronal,656,12,0,0
31420539,31420539_1,cell_vague,ARC neuronal types,656,18,1,0
31420539,31420539_1,cell_phenotype,Ghrh-neurons,754,12,1,0
31420539,31420539_1,cell_phenotype,Kisspeptin-neurons,790,18,1,1
31420539,31420539_1,cell_phenotype,ARC neurons,1085,11,1,0
32895383,32895383_16,cell_phenotype,astrocytes,344,10,1,0
32895383,32895383_16,cell_phenotype,ependymal cells,359,15,1,1
32895383,32895383_16,cell_phenotype,astrocyte,525,9,1,1
32895383,32895383_16,cell_phenotype,tanycyte,536,8,1,1
32895383,32895383_16,cell_phenotype,ependymal cell,550,14,1,1
36705821,36705821_6,cell_phenotype,Microglial,452,10,1,0
36705821,36705821_6,cell_hetero,Peripheral cells,508,16,0,0
36705821,36705821_6,cell_phenotype,pericyte,702,8,1,0
36705821,36705821_6,cell_phenotype,Astrocyte,688,9,0,0
36705821,36705821_6,cell_phenotype,neuronal,328,8,1,0
38029793,38029793_11,cell_phenotype,neural progenitors,23,18,1,1
38029793,38029793_11,cell_phenotype,glioblasts,94,10,1,1
38029793,38029793_11,cell_phenotype,astrocytes,109,10,1,1
38029793,38029793_11,cell_phenotype,glial,161,5,1,0
38029793,38029793_11,cell_phenotype,astroglia,253,9,1,0
38029793,38029793_11,cell_phenotype,oligodendrocyte,271,15,0,0
38029793,38029793_11,cell_phenotype,proliferating oligodendrocyte progenitor cells,309,46,0,0
38029793,38029793_11,cell_phenotype,OPCs,357,4,1,1
38029793,38029793_11,cell_phenotype,committed oligodendrocyte precursors,373,36,1,1
38029793,38029793_11,cell_phenotype,postmitotic oligodendrocytes,420,28,1,1
38029793,38029793_11,cell_vague,intermediate cell population between glioblasts and OPCs,535,56,0,0
38029793,38029793_11,cell_phenotype,glioblasts,572,10,1,0
38029793,38029793_11,cell_phenotype,OPCs,587,4,1,0
38029793,38029793_11,cell_vague,pre-OPC state,617,13,0,0
38029793,38029793_11,cell_phenotype,OPC,621,3,0,0
38029793,38029793_11,cell_phenotype,ependymal cells,684,15,1,1
38029793,38029793_11,cell_phenotype,ependymal progenitors,802,21,1,1
38029793,38029793_11,cell_phenotype,glioblasts,863,10,1,1
38029793,38029793_11,cell_vague,neural crest- and mesoderm-derived cell types,960,45,0,0
38029793,38029793_11,cell_hetero,meningeal,1007,9,1,1
38029793,38029793_11,cell_hetero,immune,1018,6,1,1
38029793,38029793_11,cell_phenotype,microglia,1033,9,1,1
38029793,38029793_11,cell_hetero,vascular,1045,8,1,1
38029793,38029793_11,cell_phenotype,mural,1055,5,1,1
38029793,38029793_11,cell_phenotype,endothelial,1065,11,1,1
38029793,38029793_11,cell_phenotype,erythroid,1082,9,1,1
38029793,38029793_11,cell_hetero,neural cells,1113,12,1,1
38029793,38029793_11,cell_vague,midbrain-originating cell population (LEF1),1193,43,0,0
38029793,38029793_11,cell_phenotype,isthmic and midbrain neuroblasts,1290,32,0,0
38029793,38029793_11,cell_phenotype,GABAergic midbrain cells,1324,24,1,1
38029793,38029793_11,cell_phenotype,motor neurons,1353,13,1,1
37581939,37581939_1,cell_vague,population of GABAergic hypothalamic LepRb neurons,132,50,0,0
37581939,37581939_1,cell_phenotype,GABAergic hypothalamic LepRb neurons,146,36,1,1
37581939,37581939_1,cell_vague,populations of LepRb neurons,292,28,0,0
37581939,37581939_1,cell_phenotype,LepRb neurons,307,13,1,0
37581939,37581939_1,cell_phenotype,hypothalamic LepRb cells,398,24,0,0
37581939,37581939_1,cell_vague,populations of hypothalamic LepRb neurons,468,41,0,0
37581939,37581939_1,cell_phenotype,hypothalamic LepRb neurons,483,26,1,0
37581939,37581939_1,cell_phenotype,GABAergic Glp1r-expressing LepRb (LepRbGlp1r) neurons,593,53,0,0
37581939,37581939_1,cell_phenotype,LepRb cell,685,10,0,0
37581939,37581939_1,cell_vague,LepRb cell populations,685,22,0,0
37581939,37581939_1,cell_phenotype,LepRbGlp1r cells,728,16,0,0
37581939,37581939_1,cell_phenotype,GABA neurons,885,12,1,1
37581939,37581939_1,cell_phenotype,GABAergic Glp1r-expressing neurons,954,34,0,0
37581939,37581939_1,cell_phenotype,LepRbGlp1r neurons,1038,18,0,0
37581939,37581939_1,cell_phenotype,GABAergic LepRbGlp1r neuron,1173,27,0,0
37581939,37581939_1,cell_vague,GABAergic LepRbGlp1r neuron population,1173,38,0,0
38902234,38902234_12,cell_vague,brain cell types,572,16,0,0
38902234,38902234_12,cell_hetero,brain cell,572,10,0,0
38902234,38902234_12,cell_phenotype,excitatory neuronal,1336,19,0,0
38902234,38902234_12,cell_phenotype,inhibitory neuronal,1372,19,0,0
38902234,38902234_12,cell_phenotype,oligodendrocytic,1401,16,0,0
38902234,38902234_12,cell_phenotype,astrocytic,1427,10,0,0
38902234,38902234_12,cell_hetero,vascular,1446,8,0,0
38902234,38902234_12,cell_phenotype,microglial,1463,10,0,0
38902234,38902234_12,cell_vague,oligodendrocyte progenitor nuclei clusters,1485,42,0,0
38902234,38902234_12,cell_phenotype,oligodendrocyte progenitor,1485,26,0,0
38902234,38902234_12,cell_vague,excitatory neuronal cluster,1715,27,0,0
38902234,38902234_12,cell_phenotype,excitatory neuronal,1715,19,0,0
38902234,38902234_12,cell_phenotype,inhibitory neuronal,1918,19,0,0
38902234,38902234_12,cell_phenotype,inhibitory neuronal,1995,19,0,0
38902234,38902234_12,cell_phenotype,oligodendrocytic,2041,16,0,0
34117346,34117346_21,cell_phenotype,GABAergic and unidentified neurons,179,34,0,0
34117346,34117346_21,cell_phenotype,GABAergic neurons,1232,17,1,0
34117346,34117346_21,cell_phenotype,unidentified neurons,1296,20,1,0
34117346,34117346_21,cell_phenotype,GABAergic neurons,1388,17,1,0
34117346,34117346_21,cell_phenotype,unidentified neurons,1710,20,1,0
34117346,34117346_21,cell_phenotype,unidentified neurons,1817,20,1,0
34117346,34117346_21,cell_phenotype,neurons,428,7,1,0
34117346,34117346_21,cell_phenotype,neurons,475,7,1,0
34117346,34117346_21,cell_phenotype,neurons,533,7,1,0
34117346,34117346_21,cell_phenotype,neurons,576,7,1,0
34117346,34117346_21,cell_phenotype,Neurons,634,7,1,0
34117346,34117346_21,cell_phenotype,neuron,705,6,1,0
34117346,34117346_21,cell_phenotype,neurons,889,7,1,0
34117346,34117346_21,cell_phenotype,neurons,979,7,1,0
34117346,34117346_21,cell_phenotype,neurons,1022,7,1,0
34117346,34117346_21,cell_phenotype,neurons,1528,7,1,0
34117346,34117346_21,cell_phenotype,neurons,1790,7,1,0
34117346,34117346_21,cell_phenotype,neurons,1899,7,1,0
38199807,38199807_108,cell_phenotype,serotonergic neurons,203,20,1,1
38199807,38199807_108,cell_phenotype,sympathetic premotor neurons,393,28,1,1
38199807,38199807_108,cell_phenotype,medullary raphe neurons,526,23,1,1
38199807,38199807_108,cell_vague,Ox2r-expressing DMH cells,657,25,1,1
38199807,38199807_108,cell_phenotype,GABAergic,695,9,1,0
38199807,38199807_108,cell_phenotype,DMH GABAergic neurons,718,21,0,0
38199807,38199807_108,cell_phenotype,GABAergic neurons,822,17,1,1
38199807,38199807_108,cell_phenotype,ARC GABAergic neurons,884,21,1,1
38199807,38199807_108,cell_phenotype,POMC neurons,921,12,1,1
38199807,38199807_108,cell_vague,subpopulation of ARC GABAergic neurons,937,38,0,0
38199807,38199807_108,cell_phenotype,ARC GABAergic neurons,954,21,1,1
30620732,30620732_3,cell_phenotype,neurons,438,7,0,0
30620732,30620732_3,cell_phenotype,neuron,705,6,0,0
30620732,30620732_3,cell_phenotype,inhibitory cells,969,16,0,0
30620732,30620732_3,cell_phenotype,excitatory cells,998,16,0,0
30620732,30620732_3,cell_phenotype,neuron,1105,6,0,0
30620732,30620732_3,cell_phenotype,inhibitory cells,1305,16,0,0
30620732,30620732_3,cell_vague,inhibitory cell types,1461,21,0,0
30620732,30620732_3,cell_phenotype,inhibitory cell,1461,15,0,0
34749773,34749773_10,cell_vague,astrocyte subset,601,16,0,0
34749773,34749773_10,cell_phenotype,astrocyte,601,9,1,0
34749773,34749773_10,cell_phenotype,Olig2(+)/GFAP(-) astrocytes,684,27,0,0
34749773,34749773_10,cell_phenotype,Olig2(+)/GFAP(+) astrocytes,725,27,0,0
34749773,34749773_10,cell_phenotype,Olig2(-)/GFAP(+) astrocytes,766,27,0,0
34749773,34749773_10,cell_phenotype,Olig2(-)/GFAP(-) astrocytes,810,27,0,0
34749773,34749773_10,cell_phenotype,immNEU,853,6,0,0
34749773,34749773_10,cell_phenotype,OPC,897,3,0,0
34749773,34749773_10,cell_phenotype,oligodendrocyte precursor cell,901,30,1,1
34749773,34749773_10,cell_phenotype,immOLG,933,6,0,0
34749773,34749773_10,cell_phenotype,immature oligodendrocyte,940,24,1,1
34749773,34749773_10,cell_phenotype,OLG,966,3,1,0
34749773,34749773_10,cell_phenotype,oligodendrocyte,970,15,1,0
34749773,34749773_10,cell_phenotype,ASC,987,3,1,0
34749773,34749773_10,cell_phenotype,astrocyte,991,9,1,1
34749773,34749773_10,cell_phenotype,OEG,1002,3,0,0
34749773,34749773_10,cell_phenotype,olfactory ensheathing glia,1006,26,1,1
34749773,34749773_10,cell_phenotype,MG,1034,2,1,0
34749773,34749773_10,cell_phenotype,microglia,1037,9,1,1
34749773,34749773_10,cell_phenotype,MAC,1048,3,0,0
34749773,34749773_10,cell_phenotype,macrophage,1052,10,1,1
34749773,34749773_10,cell_phenotype,EC,1064,2,0,0
34749773,34749773_10,cell_phenotype,endothelial cell,1067,16,1,1
34749773,34749773_10,cell_phenotype,PC,1085,2,0,0
34749773,34749773_10,cell_phenotype,pericyte,1088,8,1,1
34749773,34749773_10,cell_phenotype,ependymal cell,1102,14,1,1
34749773,34749773_10,cell_phenotype,VLMC,1118,4,0,0
34749773,34749773_10,cell_phenotype,vascular and leptomeningeal cell,1123,32,1,1
34749773,34749773_10,cell_phenotype,ABC,1157,3,0,0
34749773,34749773_10,cell_phenotype,arachnoid barrier cell,1161,22,1,1
34749773,34749773_10,cell_phenotype,CP,1185,2,0,0
34749773,34749773_10,cell_phenotype,cycling progenitor,1188,18,1,1
34749773,34749773_10,cell_phenotype,EPC,1098,3,0,0
34749773,34749773_10,cell_phenotype,immature neuron,860,15,1,1
34749773,34749773_10,cell_phenotype,mNEU,877,4,1,0
34749773,34749773_10,cell_phenotype,mature neuron,882,13,1,0
32269761,32269761_17,cell_phenotype,NSCs,309,4,1,1
32269761,32269761_17,cell_phenotype,astrocyte precursors,397,20,1,1
32269761,32269761_17,cell_phenotype,astrocytes,65,10,1,0
32269761,32269761_17,cell_phenotype,astrocyte,493,9,1,0
38180614,38180614_46,cell_phenotype,neuronal,22,8,1,0
38180614,38180614_46,cell_phenotype,GLUTNs,103,6,1,0
38180614,38180614_46,cell_phenotype,GABANs,162,6,1,0
38180614,38180614_46,cell_phenotype,Neuronal,182,8,1,0
38180614,38180614_46,cell_vague,Neuronal clusters,182,17,0,0
38180614,38180614_46,cell_phenotype,neurons,412,7,1,0
38180614,38180614_46,cell_vague,subclusters of neurons,481,22,0,0
38180614,38180614_46,cell_phenotype,neurons,496,7,1,0
38180614,38180614_46,cell_phenotype,GABANs,534,6,1,0
38180614,38180614_46,cell_phenotype,GABANs,553,6,1,0
38180614,38180614_46,cell_phenotype,glutamatergic (left) and GABAergic neurons,605,42,0,0
33097708,33097708_54,cell_phenotype,disease-associated microglia,48,28,0,0
33097708,33097708_54,cell_phenotype,DAMs,78,4,1,0
36384442,36384442_30,cell_phenotype,Neuroendocrine cells,137,20,1,0
36384442,36384442_30,cell_phenotype,NendC,159,5,0,0
36384442,36384442_30,cell_phenotype,Mature Neurons,222,14,1,0
36384442,36384442_30,cell_phenotype,mNEUR,250,5,0,0
36384442,36384442_30,cell_phenotype,Arachnoid barrier cells,298,23,1,0
36384442,36384442_30,cell_phenotype,ABC,323,3,0,0
36384442,36384442_30,cell_phenotype,Tanycytes,371,9,0,0
36384442,36384442_30,cell_phenotype,TNC,382,3,0,0
36384442,36384442_30,cell_phenotype,Vascular and leptomeningeal cells,424,33,0,0
36384442,36384442_30,cell_phenotype,VLMC,459,4,0,0
36384442,36384442_30,cell_phenotype,Oligodendrocyte precursor cells,513,31,0,0
36384442,36384442_30,cell_phenotype,OPC,546,3,1,0
36384442,36384442_30,cell_phenotype,Pericytes,587,9,0,0
36384442,36384442_30,cell_phenotype,PC,598,2,0,0
36384442,36384442_30,cell_phenotype,Olfactory ensheathing glia,638,26,0,0
36384442,36384442_30,cell_phenotype,OEG,666,3,0,0
36384442,36384442_30,cell_phenotype,Oligodendrocytes,707,16,0,0
36384442,36384442_30,cell_phenotype,OLG,725,3,0,0
36384442,36384442_30,cell_phenotype,Choroid plexus epithelial cells,765,31,0,0
36384442,36384442_30,cell_phenotype,CPC,798,3,0,0
36384442,36384442_30,cell_phenotype,Hemoglobin-expressing vascular cells,840,36,0,0
36384442,36384442_30,cell_phenotype,Hb_VC,878,5,0,0
36384442,36384442_30,cell_phenotype,Vascular smooth muscle cells,921,28,0,0
36384442,36384442_30,cell_phenotype,VSMC,951,4,0,0
36384442,36384442_30,cell_phenotype,Astrocyte-restricted precursors,1003,31,0,0
36384442,36384442_30,cell_phenotype,ARP,1036,3,0,0
36384442,36384442_30,cell_phenotype,Neural stem cells,1076,17,0,0
36384442,36384442_30,cell_phenotype,NSC,1095,3,0,0
36384442,36384442_30,cell_phenotype,Ependymocytes,1135,13,0,0
36384442,36384442_30,cell_phenotype,EPC,1150,3,0,0
36384442,36384442_30,cell_phenotype,Endothelial cells,1193,17,0,0
36384442,36384442_30,cell_phenotype,EC,1212,2,0,0
36384442,36384442_30,cell_phenotype,Hypendymal cells,1251,16,0,0
36384442,36384442_30,cell_phenotype,HypEPC,1269,6,0,0
36384442,36384442_30,cell_phenotype,Neuronal-restricted precursor,1314,29,0,0
36384442,36384442_30,cell_phenotype,NRP,1345,3,0,0
36384442,36384442_30,cell_phenotype,Astrocytes,1387,10,0,0
36384442,36384442_30,cell_phenotype,ASC,1399,3,0,0
36384442,36384442_30,cell_phenotype,Dendritic cells,1434,15,0,0
36384442,36384442_30,cell_phenotype,DC,1451,2,0,0
36384442,36384442_30,cell_phenotype,Immature Neurons,1486,16,0,0
36384442,36384442_30,cell_phenotype,ImmN,1504,4,0,0
36384442,36384442_30,cell_phenotype,Macrophages,1539,11,0,0
36384442,36384442_30,cell_phenotype,MAC,1552,3,0,0
36384442,36384442_30,cell_phenotype,Microglia,1588,9,1,0
36384442,36384442_30,cell_phenotype,MG,1599,2,1,0
